SQL Results View,Terminate Result,Ctrl+Break,In Windows
Navigate,Go to Matching Bracket,Ctrl+Shift+P,Editing JavaScript Source
Text Editing,Show Tooltip Description,F2,Editing Text
Navigate,Previous Page,Ctrl+Shift+F5,Using Web Page Editor
Focused UI,Focus on Active Task,Alt+Shift+H,In Windows
Navigate,Previous Sub-Tab,Alt+PageUp,In Dialogs and Windows
Run/Debug,Close Rendering,Ctrl+W,In Memory View
Run/Debug,Run Ant Build,"Alt+Shift+X, Q",In Windows
Run/Debug,Skip All Breakpoints,Ctrl+Alt+B,In Windows
Focused UI,Make Landmark,Ctrl+Alt+Shift+Up,In Windows
Source,Quick Assist - Assign to field,"Ctrl+2, F",Editing Java Source
Navigate,Open Structure,Ctrl+F3,Editing Java Source
Terminal view commands,Copy,Ctrl+Shift+C,Terminal Control in Focus
Navigate,Collapse All,Ctrl+Shift+Numpad_Divide,In Windows
Run/Debug,Debug Ant Build,"Alt+Shift+D, Q",In Windows
Source,Toggle Ant Mark Occurrences,Alt+Shift+O,Editing Ant Buildfiles
Edit,Quick Diff Toggle,Ctrl+Shift+Q,Editing Text
Text Editing,Next Word,Ctrl+Right,Editing Text
Navigate,Next,Ctrl+.,In Windows
Run/Debug,Terminate,Ctrl+F2,Debugging
Run/Debug,Execute,Ctrl+U,In Windows
Task Repositories,Mark Task Unread,Alt+Shift+U,In Tasks View
Terminal view commands,Terminal view insert,Alt+P,Terminal Typing Connected
Source,Add JSDoc Comment,Alt+Shift+J,JavaScript View
Navigate,Open Manifest,Ctrl+Alt+Shift+M,In Windows
Run/Debug,EOF,Ctrl+Z,In I/O Console
Source,Toggle Comment,Ctrl+Shift+C,Editing Java Source
Run/Debug,Run XSLT Transformation,"Alt+Shift+X, X",In Windows
Task Repositories,Mark Task Read,Alt+Shift+R,In Tasks Editor
Source,Toggle Mark Occurrences,Alt+Shift+O,Editing JavaScript Source
Task Repositories,Mark Task Read and Go To Previous Unread Task,Alt+Shift+Up,In Tasks View
Edit,Toggle Comment,Ctrl+Shift+C,Editing in Structured Text Editors
Run/Debug,Step Into,F5,Debugging
Text Editing,Delete Previous Word,Ctrl+Backspace,Editing Text
Views,JavaScript Declaration,"Alt+Shift+Q, D",JavaScript View
Window,Switch to Editor,Ctrl+Shift+E,In Windows
Database Tools,Execute Current Text,Alt+S,Editing SQL
